BranchAndBound,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.000292,236,100,6,-,-,
RatioSortGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.000311,7.0,88.0,2.0,-,-,
ValueSortGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.000400,183.0,82.0,4.0,-,-,
WeightSortGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.000292,228.0,81.0,6.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.023438,228.0,81,6,-,-,
TopDownDynamicProgramming,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.008363,241,142,7.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.010848,218,91,6.0,-,-,
FullyPolyNomial,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.009237,238.99505,96,6,-,-,
GeneticProgramming,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,-,0:00:00.012438,176,135,6,10,-,
AntColony,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,50,0:00:00.018321,202,97,5,236,0.75,
Randomized,artificial/01_knap_un_20_100_15.csv,20,100,236,0:10:00,100,0:00:00.010242,183,82,4,0.2,-,
BranchAndBound,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.000397,236,100,6,-,-,
RatioSortGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.000433,7.0,88.0,2.0,-,-,
ValueSortGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.000296,183.0,82.0,4.0,-,-,
WeightSortGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.000319,228.0,81.0,6.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.031889,228.0,81,6,-,-,
TopDownDynamicProgramming,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.009829,241,142,7.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.013555,239,96,6.0,-,-,
FullyPolyNomial,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.009195,238.99505,96,6,-,-,
GeneticProgramming,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,-,0:00:00.015695,337,340,11,10,-,
AntColony,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,50,0:00:00.020637,208,98,5,236,0.75,
Randomized,artificial/01_knap_un_20_100_15.csv,20,100,236,1:40:00,100,0:00:00.100572,183,82,4,0.2,-,
BranchAndBound,artificial/01_knap_un_20_100_15.csv,20,100,236,16:40:00,-,0:00:00.000383,236,100,6,-,-,
RatioSortGreedy,artificial/01_knap_un_20_100_15.csv,20,100,236,16:40:00,-,0:00:00.000405,7.0,88.0,2.0,-,-,
