ValueSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.000374,531.0,482.0,7.0,-,-,
BranchAndBound,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.000406,340,200,20,-,-,
RatioSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.000337,531.0,482.0,7.0,-,-,
ValueSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.000376,531.0,482.0,7.0,-,-,
WeightSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.000388,339.0,199.0,20.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.075480,339.0,199,20,-,-,
TopDownDynamicProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.010561,284,200,12.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.011220,253,197,8.0,-,-,
FullyPolyNomial,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.014717,266.99519,197,10,-,-,
GeneticProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,-,0:00:00.012161,2076,1754,46,10,-,
AntColony,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,50,0:00:00.097240,263,200,9,200,0.75,
Randomized,artificial/01_knap_sc_100_200_12.csv,100,200,340,0:10:00,100,0:00:00.010363,221,200,3,0.2,-,
BranchAndBound,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.000402,340,200,20,-,-,
RatioSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.000370,531.0,482.0,7.0,-,-,
ValueSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.000362,531.0,482.0,7.0,-,-,
WeightSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.000394,339.0,199.0,20.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.071926,339.0,199,20,-,-,
TopDownDynamicProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.100781,340,200,20.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.100843,333,200,19.0,-,-,
FullyPolyNomial,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.104255,325.99259,200,18,-,-,
GeneticProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,-,0:00:00.013355,2162,1826,48,10,-,
AntColony,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,50,0:00:00.103528,271,194,11,200,0.75,
Randomized,artificial/01_knap_sc_100_200_12.csv,100,200,340,1:40:00,100,0:00:00.100355,221,200,3,0.2,-,
BranchAndBound,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.000460,340,200,20,-,-,
RatioSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.000362,531.0,482.0,7.0,-,-,
ValueSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.000366,531.0,482.0,7.0,-,-,
WeightSortGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.000416,339.0,199.0,20.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.073794,339.0,199,20,-,-,
TopDownDynamicProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.112822,340,200,20.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.103688,340,200,20.0,-,-,
FullyPolyNomial,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.118806,339.99118999999996,200,20,-,-,
GeneticProgramming,artificial/01_knap_sc_100_200_12.csv,100,200,340,16:40:00,-,0:00:00.013603,1913,1612,43,10,-,
