BranchAndBound,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.000415,294,150,18,-,-,
RatioSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.000324,170.0,154.0,2.0,-,-,
ValueSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.000204,170.0,154.0,2.0,-,-,
WeightSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.000996,287.0,143.0,18.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.054357,287.0,143,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.010447,262,150,14.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.011001,198,150,6.0,-,-,
FullyPolyNomial,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.013151,213.996,150,8,-,-,
GeneticProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,-,0:00:00.012694,1617,1321,37,10,-,
AntColony,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,50,0:00:00.068794,213,149,8,200,0.75,
Randomized,artificial/01_knap_sc_75_150_19.csv,75,150,294,0:10:00,100,0:00:00.010194,166,150,2,0.2,-,
BranchAndBound,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.000401,294,150,18,-,-,
RatioSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.000302,170.0,154.0,2.0,-,-,
ValueSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.000306,170.0,154.0,2.0,-,-,
WeightSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.000393,287.0,143.0,18.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.066137,287.0,143,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.061480,294,150,18.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.060242,294,150,18.0,-,-,
FullyPolyNomial,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.068540,293.98893333333336,150,18,-,-,
GeneticProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,-,0:00:00.014728,1416,1152,33,10,-,
AntColony,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,50,0:00:00.069535,212,140,9,200,0.75,
Randomized,artificial/01_knap_sc_75_150_19.csv,75,150,294,1:40:00,100,0:00:00.100287,170,146,3,0.2,-,
BranchAndBound,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.000413,294,150,18,-,-,
RatioSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.000244,170.0,154.0,2.0,-,-,
ValueSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.000279,170.0,154.0,2.0,-,-,
WeightSortGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.000361,287.0,143.0,18.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.075250,287.0,143,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.057542,294,150,18.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.077188,294,150,18.0,-,-,
FullyPolyNomial,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.066679,293.98893333333336,150,18,-,-,
GeneticProgramming,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,-,0:00:00.027931,1872,1576,37,10,-,
AntColony,artificial/01_knap_sc_75_150_19.csv,75,150,294,16:40:00,50,0:00:00.081664,209,145,8,200,0.75,
