BranchAndBound,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.000290,789,200,16,-,-,
RatioSortGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.000388,4.0,183.0,3.0,-,-,
ValueSortGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.000356,649.0,353.0,10.0,-,-,
WeightSortGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.000289,611.0,185.0,21.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.065371,783.0,199,18,-,-,
TopDownDynamicProgramming,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.010499,462,265,13.0,-,-,
BottomUpDynamicProgramming,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.010779,221,182,5.0,-,-,
FullyPolyNomial,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.014908,322.99728000000005,198,6,-,-,
GeneticProgramming,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,-,0:00:00.012719,1662,1967,50,10,-,
AntColony,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,50,0:00:00.089555,385,99,7,200,0.75,
Randomized,artificial/01_knap_un_100_200_10.csv,100,200,789,0:10:00,100,0:00:00.010225,361,198,6,0.2,-,
BranchAndBound,artificial/01_knap_un_100_200_10.csv,100,200,789,1:40:00,-,0:00:00.000317,789,200,16,-,-,
RatioSortGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,1:40:00,-,0:00:00.000237,4.0,183.0,3.0,-,-,
ValueSortGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,1:40:00,-,0:00:00.000339,649.0,353.0,10.0,-,-,
WeightSortGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,1:40:00,-,0:00:00.000382,611.0,185.0,21.0,-,-,
RatiosortAndConvergeGreedy,artificial/01_knap_un_100_200_10.csv,100,200,789,1:40:00,-,0:00:00.076396,783.0,199,18,-,-,
