100,200
53,51
34,33
48,41
17,24
13,8
13,16
45,48
51,50
14,20
3,2
55,59
63,70
12,14
58,62
29,33
55,48
68,61
40,39
20,24
57,62
57,62
9,5
31,32
52,59
32,28
-4,2
13,20
32,32
47,53
12,10
48,41
38,37
41,34
20,13
15,16
71,68
26,25
66,63
27,27
61,55
66,61
32,36
34,36
48,43
72,66
57,61
47,51
18,15
2,3
64,64
70,66
44,38
70,67
1,3
10,11
47,48
68,69
25,25
14,12
36,34
0,6
67,65
69,68
43,44
39,44
69,64
12,6
47,40
66,60
52,57
31,24
31,34
47,48
53,59
61,58
49,44
67,67
17,16
57,59
27,22
46,53
49,48
-1,5
44,45
2,3
16,14
13,15
37,44
13,17
44,49
17,21
51,49
48,50
42,37
14,18
42,39
66,66
38,37
61,62
37,34
