100,200
2,66
38,45
1,3
51,57
53,22
7,52
41,52
45,51
62,56
54,44
48,48
21,12
30,63
18,40
61,24
69,15
57,50
31,51
66,33
13,66
42,62
9,8
62,49
41,6
55,48
43,2
3,41
34,54
10,56
44,25
34,60
23,45
5,19
65,9
4,3
48,11
51,44
52,36
57,33
43,24
28,19
31,23
13,8
3,50
65,43
15,45
16,26
40,56
26,55
37,60
34,28
53,42
26,34
34,44
6,33
58,59
47,25
40,64
55,65
20,5
4,16
37,48
13,46
46,7
47,61
4,31
35,17
44,1
10,62
65,37
46,49
45,17
35,28
1,60
3,40
32,32
34,6
68,22
21,67
6,43
12,45
27,28
23,52
52,40
14,21
31,54
34,42
35,16
1,57
19,11
34,70
66,65
8,11
14,20
45,69
27,28
51,4
1,14
46,46
14,65
