75,150
31,25
13,21
55,54
2,2
39,39
70,64
4,12
19,17
0,5
36,37
56,57
42,50
49,50
77,70
24,21
49,44
12,10
52,58
66,63
33,40
59,53
57,65
79,71
49,48
33,31
87,79
28,30
24,27
16,22
45,38
47,40
35,29
73,67
84,77
76,76
63,62
4,12
15,14
9,10
0,1
44,46
3,9
81,79
-3,5
26,23
64,61
0,7
20,24
70,67
45,42
43,40
64,72
47,52
26,23
74,73
68,66
71,71
57,56
3,5
32,25
80,78
38,42
87,79
68,66
42,50
69,75
19,18
25,28
28,25
72,76
83,76
32,34
34,27
32,26
73,76
