100,200
16,21
10,10
1,12
1,18
7,6
13,4
2,20
4,16
22,13
24,20
26,6
23,30
25,3
16,17
6,23
9,22
3,2
30,1
8,8
19,24
1,8
3,17
29,29
27,4
19,9
3,12
8,15
16,10
6,23
16,5
14,25
3,4
14,29
27,1
10,20
21,6
28,14
7,12
26,18
14,12
11,30
24,24
12,12
19,30
2,18
30,15
1,30
14,7
15,14
8,22
3,9
21,19
18,8
2,7
29,2
26,11
29,18
24,2
15,16
12,2
4,25
7,10
12,7
28,29
3,29
11,18
28,25
5,21
11,9
5,16
11,14
4,13
27,30
26,29
11,25
28,28
4,19
23,24
17,26
28,21
14,13
23,26
29,27
13,12
25,21
5,10
18,22
5,12
7,23
27,22
25,1
15,2
2,3
19,19
10,26
3,29
1,6
22,10
19,24
20,19
