75,150
13,10
9,6
10,7
24,21
24,21
9,6
5,2
18,15
12,9
22,19
20,17
19,16
7,4
5,2
31,28
22,19
8,5
25,22
28,25
17,14
17,14
14,11
7,4
20,17
26,23
18,15
25,22
7,4
30,27
9,6
14,11
15,12
33,30
13,10
13,10
29,26
33,30
25,22
27,24
12,9
28,25
21,18
25,22
28,25
19,16
19,16
18,15
18,15
5,2
25,22
24,21
8,5
22,19
17,14
6,3
8,5
16,13
28,25
16,13
15,12
24,21
12,9
31,28
32,29
24,21
33,30
30,27
28,25
31,28
21,18
26,23
30,27
25,22
14,11
21,18
