75,150
10,2
73,65
54,46
14,6
39,31
23,15
81,73
53,45
55,47
23,15
69,61
62,54
59,51
18,10
10,2
70,62
62,54
60,52
59,51
85,77
72,64
49,41
29,21
25,17
58,50
84,76
34,26
10,2
81,73
42,34
61,53
44,36
19,11
21,13
76,68
17,9
25,17
34,26
11,3
85,77
69,61
63,55
17,9
72,64
48,40
41,33
15,7
38,30
84,76
73,65
57,49
40,32
51,43
15,7
39,31
46,38
76,68
30,22
61,53
52,44
31,23
72,64
69,61
67,59
16,8
13,5
25,17
62,54
27,19
31,23
13,5
31,23
76,68
22,14
57,49
