75,150
8,13
60,60
3,79
28,21
69,53
67,49
42,63
10,8
13,73
9,16
2,31
64,10
38,1
41,67
25,77
63,63
74,16
72,55
31,27
59,13
73,51
40,10
45,26
37,14
19,67
72,1
4,58
68,32
35,18
25,80
31,46
73,79
17,54
11,41
4,49
67,72
47,44
30,19
58,22
45,77
56,49
79,74
63,43
63,3
19,32
46,73
52,48
47,45
44,29
51,29
64,19
12,32
48,67
48,44
13,34
61,4
57,57
13,61
19,53
71,55
49,8
6,27
37,18
57,17
6,79
49,54
51,42
80,39
2,16
1,69
37,8
31,37
47,76
35,45
20,55
