75,150
6.0,4
11.0,9
11.0,9
22.0,20
9.0,7
10.0,8
13.0,11
18.0,16
17.0,15
8.0,6
3.0,1
4.0,2
6.0,4
13.0,11
8.0,6
6.0,4
11.0,9
12.0,10
5.0,3
8.0,6
10.0,8
11.0,9
22.0,20
12.0,10
8.0,6
7.0,5
9.0,7
11.0,9
12.0,10
4.0,2
14.0,12
3.0,1
13.0,11
13.0,11
17.0,15
15.0,13
14.0,12
11.0,9
16.0,14
6.0,4
13.0,11
18.0,16
9.0,7
6.0,4
18.0,16
18.0,16
18.0,16
9.0,7
10.0,8
8.0,6
11.0,9
13.0,11
21.0,19
22.0,20
14.0,12
18.0,16
21.0,19
5.0,3
22.0,20
15.0,13
7.0,5
13.0,11
14.0,12
4.0,2
20.0,18
13.0,11
4.0,2
16.0,14
18.0,16
19.0,17
3.0,1
4.0,2
7.0,5
17.0,15
8.0,6
